rank	lambda	iterator	rmse
20	0.04	5	1.6935
28	0.26	6	0.7282
22	0.85	5	1.216
21	0.03	4	1.8706
2	0.44	5	2.4142
4	0.94	3	2.3164
16	0.89	6	1.1252
12	0.19	5	1.0138
21	0.77	5	1.1586
2	0.17	6	1.7167
12	0.39	3	1.4849
24	0.5	3	1.3881
4	0.37	3	1.9563
10	0.14	3	1.5426
29	0.93	3	1.8892
23	0.49	3	1.4419
13	0.49	6	0.9897
29	0.52	3	1.4085
5	0.48	5	1.1627
3	0.48	6	1.6654
10	0.42	3	1.5672
7	0.45	6	0.7789
12	0.14	5	1.2017
12	0.2	3	1.5282
2	0.56	6	1.789
18	0.08	4	1.5289
28	0.51	4	1.1199
13	0.1	3	1.7073
27	0.51	4	1.0749
9	0.6	3	1.8116
12	0.24	5	0.8695
24	0.14	4	1.2246
9	0.2	3	1.5268
2	0.9	6	2.4584
28	0.84	6	1.1716
21	0.46	6	0.805
6	0.04	4	2.5013
21	0.49	6	0.8255
5	0.21	3	1.9473
13	0.95	3	1.9129
12	0.4	6	0.7694
16	0.07	4	1.6693
2	0.19	6	1.5159
9	0.2	4	1.3201
6	0.66	4	1.589
21	0.07	6	1.3913
24	0.22	5	0.8773
11	0.61	4	1.182
11	0.76	3	1.7934
